id;kiindulo_varos;celvaros_city;tavolsag;alpakaszam;szallas
;Gyenesdiás;Bonyhád;174.0;4;helyben
;Gyenesdiás;Bonnya;95.3;7;helyben
;Gyenesdiás;Felsőrajk;32.2;2;Otthon
;Gyenesdiás;Gadács;115.0;1;Igal
;Gyenesdiás;Görcsöny;151.0;2;Ócsárd
;Gyenesdiás;Gyúró;172.0;4;Tordas
;Gyenesdiás;Isaszeg;238.0;2;helyben
;Gyenesdiás;Jászberény;280.0;9;helyben
;Gyenesdiás;Kisbágyon;291.0;5;helyben
;Gyenesdiás;Komló;164.0;3;helyben
;Gyenesdiás;Kosd;240.0;3;helyben
;Gyenesdiás;Magyarbóly;218.0;2;helyben
;Gyenesdiás;Mozsgó;146.0;2;helyben
;Gyenesdiás;Nagyvázsony;52.3;5;helyben
;Gyenesdiás;Nőtincs_Seholsziget;254.0;11;helyben
;Gyenesdiás;Pap;503.0;9;helyben
;Gyenesdiás;Pécs;175.0;6;helyben
;Gyenesdiás;Pér;145.0;11;Pannonhalma
;Gyenesdiás;Szaknyér;78.2;12;helyben
;Gyenesdiás;Szerecseny;112.0;4;Pápa
;Gyenesdiás;Újudvar;68.2;0;Otthon
;Gyenesdiás;Vése;60.5;13;helyben
;Gyúró;Biatorbágy;32.8;8;helyben
;Gyúró;Bonyhád;145.0;4;helyben
;Gyúró;Bonnya;130.0;7;helyben
;Gyúró;Felsőrajk;187.0;2;Otthon
;Gyúró;Gadács;142.0;1;Igal
;Gyúró;Görcsöny;220.0;2;Ócsárd
;Gyúró;Gyenesdiás;171.0;4;helyben
;Gyúró;Isaszeg;81.2;2;helyben
;Gyúró;Jászberény;123.0;9;helyben
;Gyúró;Kisbágyon;116.0;5;helyben
;Gyúró;Komló;182.0;3;helyben
;Gyúró;Kosd;83.2;3;helyben
;Gyúró;Magyarbóly;200.0;2;helyben
;Gyúró;Mozsgó;198.0;2;helyben
;Gyúró;Nagyvázsony;114.0;5;helyben
;Gyúró;Nőtincs Seholsziget;97.0;11;helyben
;Gyúró;Pap;328.0;9;helyben
;Gyúró;Pécs;183.0;6;helyben
;Gyúró;Pér;135.0;11;Pannonhalma
;Gyúró;Szaknyér;223.0;12;helyben
;Gyúró;Szerecseny;161.0;4;Pápa
;Gyúró;Újudvar;195.0;0;Otthon
;Gyúró;Vése;188.0;13;helyben
;Isaszeg;Biatorbágy;69.5;8;helyben
;Isaszeg;Bonyhád;199.0;4;helyben
;Isaszeg;Bonnya;198.0;7;helyben
;Isaszeg;Felsőrajk;255.0;2;Otthon
;Isaszeg;Gadács;209.0;1;Igal
;Isaszeg;Görcsöny;274.0;2;Ócsárd
;Isaszeg;Gyenesdiás;239.0;4;helyben
;Isaszeg;Gyúró;82.0;3;Tordas
;Isaszeg;Jászberény;48.6;9;helyben
;Isaszeg;Kisbágyon;46.3;5;helyben
;Isaszeg;Komló;236.0;3;helyben
;Isaszeg;Kosd;39.8;3;helyben
;Isaszeg;Magyarbóly;254.0;2;helyben
;Isaszeg;Mozsgó;265.0;2;helyben
;Isaszeg;Nagyvázsony;181.0;5;helyben
;Isaszeg;Nőtincs Seholsziget;53.6;11;helyben
;Isaszeg;Pap;272.0;9;helyben
;Isaszeg;Pécs;237.0;6;helyben
;Isaszeg;Pér;172.0;11;Pannonhalma
;Isaszeg;Szaknyér;315.0;12;helyben
;Isaszeg;Szerecseny;198.0;4;Pápa
;Isaszeg;Újudvar;263.0;0;Otthon
;Isaszeg;Vése;255.0;13;helyben
;Jászberény;Biatorbágy;108.0;8;helyben
;Jászberény;Bonyhád;240.0;4;helyben
;Jászberény;Bonnya;239.0;7;helyben
;Jászberény;Felsőrajk;296.0;2;Otthon
;Jászberény;Gadács;251.0;1;Igal
;Jászberény;Görcsöny;316.0;2;Ócsárd
;Jászberény;Gyenesdiás;280.0;4;helyben
;Jászberény;Gyúró;123.0;3;Tordas
;Jászberény;Isaszeg;48.8;2;helyben
;Jászberény;Kisbágyon;53.0;5;helyben
;Jászberény;Komló;277.0;3;helyben
;Jászberény;Kosd;105.0;3;helyben
;Jászberény;Magyarbóly;296.0;2;helyben
;Jászberény;Mozsgó;307.0;2;helyben
;Jászberény;Nagyvázsony;223.0;5;helyben
;Jászberény;Nőtincs Seholsziget;119.0;11;helyben
;Jászberény;Pap;227.0;9;helyben
;Jászberény;Pécs;278.0;6;helyben
;Jászberény;Pér;210.0;11;Pannonhalma
;Jászberény;Szaknyér;354.0;12;helyben
;Jászberény;Szerecseny;236.0;4;Pápa
;Jászberény;Újudvar;304.0;0;Otthon
;Jászberény;Vése;296.0;13;helyben
;Kisbágyon;Biatorbágy;97.2;8;helyben
;Kisbágyon;Bonyhád;252.0;4;helyben
;Kisbágyon;Bonnya;228.0;7;helyben
;Kisbágyon;Felsőrajk;286.0;2;Otthon
;Kisbágyon;Gadács;240.0;1;Igal
;Kisbágyon;Görcsöny;238.0;2;Ócsárd
;Kisbágyon;Gyenesdiás;269.0;4;helyben
;Kisbágyon;Gyúró;113.0;3;Tordas
;Kisbágyon;Isaszeg;59.7;2;helyben
;Kisbágyon;Jászberény;53.0;9;helyben
;Kisbágyon;Komló;289.0;3;helyben
;Kisbágyon;Kosd;55.2;3;helyben
;Kisbágyon;Magyarbóly;308.0;2;helyben
;Kisbágyon;Mozsgó;296.0;2;helyben
;Kisbágyon;Nagyvázsony;212.0;5;helyben
;Kisbágyon;Nőtincs Seholsziget;46.6;11;helyben
;Kisbágyon;Pap;255.0;9;helyben
;Kisbágyon;Pécs;290.0;6;helyben
;Kisbágyon;Pér;199.0;11;Pannonhalma
;Kisbágyon;Szaknyér;343.0;12;helyben
;Kisbágyon;Szerecseny;225.0;4;Pápa
;Kisbágyon;Újudvar;294.0;0;Otthon
;Kisbágyon;Vése;286.0;13;helyben
;Komló;Biatorbágy;209.0;8;helyben
;Komló;Bonyhád;35.2;4;helyben
;Komló;Bonnya;69.7;7;helyben
;Komló;Felsőrajk;180.0;2;Otthon
;Komló;Gadács;54.6;1;Igal
;Komló;Görcsöny;37.6;2;Ócsárd
;Komló;Gyenesdiás;164.0;4;helyben
;Komló;Gyúró;178.0;3;Tordas
;Komló;Isaszeg;242.0;2;helyben
;Komló;Jászberény;283.0;9;helyben
;Komló;Kisbágyon;295.0;5;helyben
;Komló;Kosd;279.0;3;helyben
;Komló;Magyarbóly;63.2;2;helyben
;Komló;Mozsgó;62.6;2;helyben
;Komló;Nagyvázsony;164.0;5;helyben
;Komló;Nőtincs Seholsziget;293.0;11;helyben
;Komló;Pap;507.0;9;helyben
;Komló;Pécs;20.5;6;helyben
;Komló;Pér;215.0;11;Pannonhalma
;Komló;Szaknyér;231.0;12;helyben
;Komló;Szerecseny;219.0;4;Pápa
;Komló;Újudvar;148.0;0;Otthon
;Komló;Vése;99.6;13;helyben
;Kosd;Biatorbágy;67.0;8;helyben
;Kosd;Bonyhád;208.0;4;helyben
;Kosd;Bonnya;198.0;7;helyben
;Kosd;Felsőrajk;255.0;2;Otthon
;Kosd;Gadács;210.0;1;Igal
;Kosd;Görcsöny;283.0;2;Ócsárd
;Kosd;Gyenesdiás;239.0;4;helyben
;Kosd;Gyúró;82.8;3;Tordas
;Kosd;Isaszeg;40.2;2;helyben
;Kosd;Jászberény;106.0;9;helyben
;Kosd;Kisbágyon;55.5;5;helyben
;Kosd;Komló;251.0;3;helyben
;Kosd;Magyarbóly;264.0;2;helyben
;Kosd;Mozsgó;266.0;2;helyben
;Kosd;Nagyvázsony;181.0;5;helyben
;Kosd;Nőtincs Seholsziget;21.6;11;helyben
;Kosd;Pap;308.0;9;helyben
;Kosd;Pécs;246.0;6;helyben
;Kosd;Pér;169.0;11;Pannonhalma
;Kosd;Szaknyér;313.0;12;helyben
;Kosd;Szerecseny;195.0;4;Pápa
;Kosd;Újudvar;263.0;0;Otthon
;Kosd;Vése;256.0;13;helyben
;Magyarbóly;Biatorbágy;221.0;8;helyben
;Magyarbóly;Bonyhád;64.5;4;helyben
;Magyarbóly;Bonnya;129.0;7;helyben
;Magyarbóly;Felsőrajk;234.0;2;Otthon
;Magyarbóly;Gadács;114.0;1;Igal
;Magyarbóly;Görcsöny;40.7;2;Ócsárd
;Magyarbóly;Gyenesdiás;218.0;4;helyben
;Magyarbóly;Gyúró;202.0;3;Tordas
;Magyarbóly;Isaszeg;254.0;2;helyben
;Magyarbóly;Jászberény;296.0;9;helyben
;Magyarbóly;Kisbágyon;307.0;5;helyben
;Magyarbóly;Komló;63.2;3;helyben
;Magyarbóly;Kosd;291.0;3;helyben
;Magyarbóly;Mozsgó;89.0;2;helyben
;Magyarbóly;Nagyvázsony;220.0;5;helyben
;Magyarbóly;Nőtincs Seholsziget;305.0;11;helyben
;Magyarbóly;Pap;519.0;9;helyben
;Magyarbóly;Pécs;48.8;6;helyben
;Magyarbóly;Pér;266.0;11;Pannonhalma
;Magyarbóly;Szaknyér;285.0;12;helyben
;Magyarbóly;Szerecseny;289.0;4;Pápa
;Magyarbóly;Újudvar;199.0;0;Otthon
;Magyarbóly;Vése;151.0;13;helyben
;Mozsgó;Biatorbágy;215.0;8;helyben
;Mozsgó;Bonyhád;83.4;4;helyben
;Mozsgó;Bonnya;68.6;7;helyben
;Mozsgó;Felsőrajk;162.0;2;Otthon
;Mozsgó;Gadács;64.8;1;Igal
;Mozsgó;Görcsöny;41.7;2;Ócsárd
;Mozsgó;Gyenesdiás;146.0;4;helyben
;Mozsgó;Gyúró;198.0;3;Tordas
;Mozsgó;Isaszeg;264.0;2;helyben
;Mozsgó;Jászberény;305.0;9;helyben
;Mozsgó;Kisbágyon;317.0;5;helyben
;Mozsgó;Komló;62.6;3;helyben
;Mozsgó;Kosd;266.0;3;helyben
;Mozsgó;Magyarbóly;88.8;2;helyben
;Mozsgó;Nagyvázsony;184.0;2;helyben
;Mozsgó;Nőtincs Seholsziget;280.0;11;helyben
;Mozsgó;Pap;529.0;9;helyben
;Mozsgó;Pécs;42.4;6;helyben
;Mozsgó;Pér;236.0;11;Pannonhalma
;Mozsgó;Szaknyér;214.0;12;helyben
;Mozsgó;Szerecseny;239.0;4;Pápa
;Mozsgó;Újudvar;124.0;0;Otthon
;Mozsgó;Vése;76.2;13;helyben
;Nagyvázsony;Biatorbágy;131.0;8;helyben
;Nagyvázsony;Bonyhád;154.0;4;helyben
;Nagyvázsony;Bonnya;117.0;7;helyben
;Nagyvázsony;Felsőrajk;84.6;2;Otthon
;Nagyvázsony;Gadács;128.0;1;Igal
;Nagyvázsony;Görcsöny;222.0;2;Ócsárd
;Nagyvázsony;Gyenesdiás;52.4;4;helyben
;Nagyvázsony;Gyúró;114.0;3;Tordas
;Nagyvázsony;Isaszeg;180.0;2;helyben
;Nagyvázsony;Jászberény;221.0;9;helyben
;Nagyvázsony;Kisbágyon;233.0;5;helyben
;Nagyvázsony;Komló;164.0;3;helyben
;Nagyvázsony;Kosd;182.0;3;helyben
;Nagyvázsony;Magyarbóly;219.0;2;helyben
;Nagyvázsony;Mozsgó;184.0;2;helyben
;Nagyvázsony;Nőtincs Seholsziget;196.0;11;helyben
;Nagyvázsony;Pap;445.0;9;helyben
;Nagyvázsony;Pécs;180.0;6;helyben
;Nagyvázsony;Pér;93.4;11;Pannonhalma
;Nagyvázsony;Szaknyér;121.0;12;helyben
;Nagyvázsony;Szerecseny;83.6;4;Pápa
;Nagyvázsony;Újudvar;121.0;0;Otthon
;Nagyvázsony;Vése;113.0;13;helyben
;Nőtincs seholsziget;Biatorbágy;194.0;8;helyben
;Nőtincs seholsziget;Bonyhád;52.0;4;helyben
;Nőtincs seholsziget;Bonnya;114.0;7;helyben
;Nőtincs seholsziget;Felsőrajk;280.0;2;Otthon
;Nőtincs seholsziget;Gadács;162.0;1;Igal
;Nőtincs seholsziget;Görcsöny;282.0;2;Ócsárd
;Nőtincs seholsziget;Gyenesdiás;206.0;4;helyben
;Nőtincs seholsziget;Gyúró;262.0;3;Tordas
;Nőtincs seholsziget;Isaszeg;107.0;2;helyben
;Nőtincs seholsziget;Jászberény;108.0;9;helyben
;Nőtincs seholsziget;Kisbágyon;119.0;5;helyben
;Nőtincs seholsziget;Komló;94.0;3;helyben
;Nőtincs seholsziget;Kosd;207.0;3;helyben
;Nőtincs seholsziget;Magyarbóly;196.0;2;helyben
;Nőtincs seholsziget;Mozsgó;209.0;2;helyben
;Nőtincs seholsziget;Nagyvázsony;219.0;5;helyben
;Nőtincs seholsziget;Pap;235.0;9;helyben
;Nőtincs seholsziget;Pécs;86.3;6;helyben
;Nőtincs seholsziget;Pér;261.0;11;Pannonhalma
;Nőtincs seholsziget;Szaknyér;218.0;12;helyben
;Nőtincs seholsziget;Szerecseny;130.0;4;Pápa
;Nőtincs seholsziget;Újudvar;180.0;0;Otthon
;Nőtincs seholsziget;Vése;236.0;13;helyben
;Pap;Biatorbágy;309.0;8;helyben
;Pap;Bonyhád;464.0;4;helyben
;Pap;Bonnya;441.0;7;helyben
;Pap;Felsőrajk;498.0;2;Otthon
;Pap;Gadács;452.0;1;Igal
;Pap;Görcsöny;539.0;2;Ócsárd
;Pap;Gyenesdiás;482.0;4;helyben
;Pap;Gyúró;325.0;3;Tordas
;Pap;Isaszeg;272.0;2;helyben
;Pap;Jászberény;228.0;9;helyben
;Pap;Kisbágyon;254.0;5;helyben
;Pap;Komló;501.0;3;helyben
;Pap;Kosd;306.0;3;helyben
;Pap;Magyarbóly;520.0;2;helyben
;Pap;Mozsgó;508.0;2;helyben
;Pap;Nagyvázsony;424.0;5;helyben
;Pap;Nőtincs_Seholsziget;320.0;11;helyben
;Pap;Pécs;531.0;6;helyben
;Pap;Pér;412.0;11;Pannonhalma
;Pap;Szaknyér;555.0;12;helyben
;Pap;Szerecseny;438.0;4;Pápa
;Pap;Újudvar;506.0;0;Otthon
;Pap;Vése;498.0;13;helyben
;Pécs;Biatorbágy;204.0;8;helyben
;Pécs;Bonyhád;41.3;4;helyben
;Pécs;Bonnya;86.3;7;helyben
;Pécs;Felsőrajk;191.0;2;Otthon
;Pécs;Gadács;71.2;1;Igal
;Pécs;Görcsöny;17.4;2;Ócsárd
;Pécs;Gyenesdiás;175.0;4;helyben
;Pécs;Gyúró;185.0;3;Tordas
;Pécs;Isaszeg;237.0;2;helyben
;Pécs;Jászberény;279.0;9;helyben
;Pécs;Kisbágyon;290.0;5;helyben
;Pécs;Komló;20.5;3;helyben
;Pécs;Kosd;248.0;3;helyben
;Pécs;Magyarbóly;49.1;2;helyben
;Pécs;Mozsgó;42.3;2;helyben
;Pécs;Nagyvázsony;181.0;5;helyben
;Pécs;Nőtincs Seholsziget;288.0;11;helyben
;Pécs;Pap;503.0;9;helyben
;Pécs;Pér;249.0;11;Pannonhalma
;Pécs;Szaknyér;242.0;12;helyben
;Pécs;Szerecseny;235.0;4;Pápa
;Pécs;Újudvar;152.0;0;Otthon
;Pécs;Vése;104.0;13;helyben
;Pér;Biatorbágy;106.0;8;helyben
;Pér;Bonyhád;210.0;4;helyben
;Pér;Bonnya;168.0;7;helyben
;Pér;Felsőrajk;160.0;2;Otthon
;Pér;Gadács;179.0;1;Igal
;Pér;Görcsöny;285.0;2;Ócsárd
;Pér;Gyenesdiás;146.0;4;helyben
;Pér;Gyúró;133.0;3;Tordas
;Pér;Isaszeg;171.0;2;helyben
;Pér;Jászberény;212.0;9;helyben
;Pér;Kisbágyon;202.0;5;helyben
;Pér;Komló;215.0;3;helyben
;Pér;Kosd;169.0;3;helyben
;Pér;Magyarbóly;265.0;2;helyben
;Pér;Mozsgó;235.0;2;helyben
;Pér;Nagyvázsony;94.1;5;helyben
;Pér;Nőtincs Seholsziget;183.0;11;helyben
;Pér;Pap;414.0;9;helyben
;Pér;Pécs;276.0;6;helyben
;Pér;Szaknyér;162.0;12;helyben
;Pér;Szerecseny;44.3;4;Pápa
;Pér;Újudvar;199.0;0;Otthon
;Pér;Vése;225.0;13;helyben
;Szaknyér;Biatorbágy;248.0;8;helyben
;Szaknyér;Bonyhád;242.0;4;helyben
;Szaknyér;Bonnya;163.0;7;helyben
;Szaknyér;Felsőrajk;64.5;2;Otthon
;Szaknyér;Gadács;175.0;1;Igal
;Szaknyér;Görcsöny;229.0;2;Ócsárd
;Szaknyér;Gyenesdiás;78.4;4;helyben
;Szaknyér;Gyúró;223.0;3;Tordas
;Szaknyér;Isaszeg;314.0;2;helyben
;Szaknyér;Jászberény;355.0;9;helyben
;Szaknyér;Kisbágyon;345.0;5;helyben
;Szaknyér;Komló;232.0;3;helyben
;Szaknyér;Kosd;312.0;3;helyben
;Szaknyér;Magyarbóly;276.0;2;helyben
;Szaknyér;Mozsgó;214.0;2;helyben
;Szaknyér;Nagyvázsony;120.0;5;helyben
;Szaknyér;Nőtincs Seholsziget;326.0;11;helyben
;Szaknyér;Pap;556.0;9;helyben
;Szaknyér;Pécs;229.0;6;helyben
;Szaknyér;Pér;160.0;11;Pannonhalma
;Szaknyér;Szerecseny;131.0;4;Pápa
;Szaknyér;Újudvar;78.4;0;Otthon
;Szaknyér;Vése;125.0;13;helyben
;Szerecseny;Biatorbágy;131.0;8;helyben
;Szerecseny;Bonyhád;233.0;4;helyben
;Szerecseny;Bonnya;166.0;7;helyben
;Szerecseny;Felsőrajk;121.0;2;Otthon
;Szerecseny;Gadács;178.0;1;Igal
;Szerecseny;Görcsöny;272.0;2;Ócsárd
;Szerecseny;Gyenesdiás;107.0;4;helyben
;Szerecseny;Gyúró;159.0;3;Tordas
;Szerecseny;Isaszeg;197.0;2;helyben
;Szerecseny;Jászberény;238.0;9;helyben
;Szerecseny;Kisbágyon;227.0;5;helyben
;Szerecseny;Komló;213.0;3;helyben
;Szerecseny;Kosd;195.0;3;helyben
;Szerecseny;Magyarbóly;347.0;2;helyben
;Szerecseny;Mozsgó;234.0;2;helyben
;Szerecseny;Nagyvázsony;78.2;5;helyben
;Szerecseny;Nőtincs Seholsziget;209.0;11;helyben
;Szerecseny;Pap;439.0;9;helyben
;Szerecseny;Pécs;230.0;6;helyben
;Szerecseny;Pér;43.3;11;Pannonhalma
;Szerecseny;Szaknyér;125.0;12;helyben
;Szerecseny;Újudvar;138.0;0;Otthon
;Szerecseny;Vése;156.0;13;helyben
;Újudvar;Biatorbágy;214.0;8;helyben
;Újudvar;Bonyhád;159.0;4;helyben
;Újudvar;Bonnya;120.0;7;helyben
;Újudvar;Felsőrajk;16.9;2;Otthon
;Újudvar;Gadács;131.0;1;Igal
;Újudvar;Görcsöny;148.0;2;Ócsárd
;Újudvar;Gyenesdiás;69.1;4;helyben
;Újudvar;Gyúró;196.0;3;Tordas
;Újudvar;Isaszeg;262.0;2;helyben
;Újudvar;Jászberény;304.0;9;helyben
;Újudvar;Kisbágyon;315.0;5;helyben
;Újudvar;Komló;144.5;3;helyben
;Újudvar;Kosd;264.0;3;helyben
;Újudvar;Magyarbóly;195.0;2;helyben
;Újudvar;Mozsgó;121.0;2;helyben
;Újudvar;Nagyvázsony;97.8;5;helyben
;Újudvar;Nőtincs Seholsziget;278.0;11;helyben
;Újudvar;Pap;527.0;9;helyben
;Újudvar;Pécs;149.0;6;helyben
;Újudvar;Pér;195.0;11;Pannonhalma
;Újudvar;Szaknyér;75.2;12;helyben
;Újudvar;Szerecseny;143.0;4;Pápa
;Újudvar;Vése;45.0;13;helyben
;Vése;Biatorbágy;206.0;8;helyben
;Vése;Bonyhád;114.0;4;helyben
;Vése;Bonnya;77.8;7;helyben
;Vése;Felsőrajk;50.3;2;Otthon
;Vése;Gadács;74.0;1;Igal
;Vése;Görcsöny;104.0;2;Ócsárd
;Vése;Gyenesdiás;61.5;4;helyben
;Vése;Gyúró;189.0;3;Tordas
;Vése;Isaszeg;254.0;2;helyben
;Vése;Jászberény;296.0;9;helyben
;Vése;Kisbágyon;307.0;5;helyben
;Vése;Komló;99.6;3;helyben
;Vése;Kosd;256.0;3;helyben
;Vése;Magyarbóly;151.0;2;helyben
;Vése;Mozsgó;76.1;2;helyben
;Vése;Nagyvázsony;113.0;5;helyben
;Vése;Nőtincs Seholsziget;270.0;11;helyben
;Vése;Pap;520.0;9;helyben
;Vése;Pécs;104.0;6;helyben
;Vése;Pér;226.0;11;Pannonhalma
;Vése;Szaknyér;120.0;12;helyben
;Vése;Szerecseny;163.0;4;Pápa
;Vése;Újudvar;48.5;0;Otthon
